 ,α=0.0,α=0.2,α=0.4,α=0.6,α=0.8,α=1.0,α=1.2,α=1.4,α=1.6,α=1.8,α=2.0,α=2.2,α=2.4,α=2.6,α=2.8
pdf 1 in pdf 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pdf 1 in pdf 2,0.0,0.19,0.1414,0.0997,0.0675,0.0438,0.027,0.0153,0.0075,0.0022,-0.0013,-0.0036,-0.0051,-0.0061,-0.0067
pdf 1 in pdf 3,0.0,0.3587,0.2768,0.1928,0.1241,inf,0.0413,0.0202,0.0073,-0.0005,-0.0051,-0.0077,-0.0092,-0.01,-0.0104
pdf 1 in pdf 4,0.0,0.4299,0.311,0.2076,0.1299,inf,0.0413,0.0194,0.006,-0.0021,-0.0069,-0.0096,-0.0112,-0.0121,-0.0125
pdf 1 in pdf 5,0.0,0.4628,0.3249,0.2151,0.1341,inf,0.042,0.0191,0.005,-0.0035,-0.0086,-0.0116,-0.0134,-0.0145,-0.015
pdf 1 in pdf 6,0.0,0.482,0.3397,0.2265,0.1416,inf,0.0437,0.0192,0.004,-0.0053,-0.0109,-0.0143,-0.0164,-0.0177,-0.0184
pdf 1 in pdf 7,0.0,0.5167,0.3625,0.2416,0.1512,inf,0.0469,0.0205,0.004,-0.0063,-0.0126,-0.0166,-0.0191,-0.0207,-0.0218
pdf 1 in pdf 8,0.0,0.5301,0.3784,0.256,0.1621,inf,0.0513,0.0227,0.0046,-0.0068,-0.0141,-0.0188,-0.0218,-0.0239,-0.0254
pdf 1 in pdf 9,0.0,0.5621,0.4034,0.2745,0.1751,inf,0.0565,0.0255,0.0057,-0.007,-0.0152,-0.0207,-0.0244,-0.027,-0.0289
pdf 1 in pdf 10,0.0,0.5191,0.3635,0.242,0.1512,inf,0.0467,0.0203,0.0039,-0.0063,-0.0126,-0.0166,-0.0191,-0.0207,-0.0217
pdf 1 in pdf 11,0.0,0.7559,0.7381,0.7171,0.6978,inf,0.6693,0.6591,0.6508,0.6438,0.6376,0.6319,0.6267,0.6217,0.6169
pdf 1 in pdf 12,0.0,0.778,0.7593,0.7336,0.7096,inf,0.6747,0.6628,0.6534,0.6456,0.6389,0.633,0.6276,0.6225,0.6176
pdf 1 in pdf 13,0.0,0.5988,0.5551,0.5377,0.5306,inf,0.5289,0.5299,0.5306,0.5308,0.5302,0.5289,0.5269,0.5245,0.5218
pdf 1 in pdf 14,0.0,0.7901,0.7609,0.7336,0.7094,inf,0.6745,0.6627,0.6533,0.6455,0.6389,0.633,0.6276,0.6225,0.6177
pdf 1 in pdf 15,0.0,0.8519,0.7904,0.7478,0.7163,inf,0.6762,0.6635,0.6537,0.6457,0.6389,0.6329,0.6274,0.6223,0.6175
pdf 1 in pdf 16,0.0,0.8501,0.7895,0.7475,0.7161,inf,0.6761,0.6634,0.6536,0.6456,0.6389,0.6329,0.6274,0.6223,0.6175
pdf 1 in pdf 17,0.0,0.8504,0.7896,0.7475,0.7162,inf,0.6762,0.6635,0.6536,0.6457,0.6389,0.6329,0.6274,0.6222,0.6174
pdf 1 in pdf 18,0.0,0.8512,0.79,0.7476,0.7162,inf,0.6762,0.6636,0.6538,0.6459,0.6392,0.6333,0.6278,0.6228,0.618
